"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
33,"嘉寶餐飲有限公司","勞動基準法第21條第1項","高市勞條字第10530343900號","105/01/29"
,,"勞動基準法第24條",,
,,"勞動基準法第36條",,
34,"鈺惠有限公司","勞動基準法第21條第1項","高市勞條字第10530591500號","105/01/30"
35,"鈺惠有限公司","勞動基準法第30條第5項","高市勞條字第1053059150A號","105/01/30"
36,"高雄市私立福慧兒童課後照顧服務中心","勞動基準法第22條第2項","高市勞條字第10530516100號","105/01/30"
37,"劉登荃","勞動基準法第24條","高市勞條字第10530652100號","105/02/01"
,,"勞動基準法第32條第2項",,
38,"順茂工業有限公司","勞動基準法第22條第2項","高市勞條字第10530590200號","105/02/02"
,,"勞動基準法第24條",,
,,"勞動基準法第39條",,
39,"賀昱企業有限公司","勞動基準法第24條","高市勞條字第10530017800號","105/02/03"
,,"勞動基準法第32條第2項",,
40,"燁興企業股份有限公司","勞動基準法第32條第2項","高市勞條字第10530076600號","105/02/03"
41,"展澄企業有限公司","勞動基準法第32條第2項","高市勞條字第10530126800號","105/02/04"
,,"勞動基準法第36條",,
42,"蟻群食品行","勞動基準法第24條","高市勞條字第10530845200號","105/02/04"
,,"勞動基準法第32條第2項",,
43,"花旗(台灣)商業銀行股份有限公司","勞動基準法第24條","高市勞條字第10530740100號","105/02/04"
44,"日商鹿島營造股份有限公司台灣分公司","勞動基準法第32條第2項","高市勞條字第10530036200號","105/02/04"
45,"技泓企業有限公司","勞動基準法第22條第2項","高市勞條字第10530711900號","105/02/04"
46,"陸潔有限公司","勞動基準法第22條第2項","高市勞條字第10530355400號","105/02/04"
47,"郭祥榮","勞動基準法第59條","高市勞條字第10530590300號","105/02/04"
48,"權通有限公司","勞動基準法第27條","高市勞條字第10530893000號","105/02/05"
49,"貓尾巴有限公司","勞動基準法第24條","高市勞條字第10530714400號","105/02/04"
,,"勞動基準法第32條第2項",,
50,"陽光禮儀股份有限公司","勞動基準法第24條","高市勞條字第10530710500號","105/02/17"
,,"勞動基準法第30條第5項",,
51,"春迪企業股份有限公司","勞動基準法第22條第2項","高市勞條字第10530911200號","105/02/05"
52,"聯揚國際開發有限公司","勞動基準法第30條第5項","高市勞條字第10530561600號","105/02/05"
53,"許逸群即老大粥","勞動基準法第39條","高市勞條字第10530714300號","105/02/05"
54,"林仲明即童欣創意企業社","勞動基準法第24條","高市勞條字第10530914900號","105/02/05"
,,"勞動基準法第36條",,
55,"華王大飯店股份有限公司","勞動基準法第24條","高市勞條字第10530207000號","105/02/05"
,,"勞動基準法第36條",,
56,"高雄市私立康澤幼兒園","勞動基準法第24條","高市勞條字第10530225100號","105/02/05"
57,"全聯實業股份有限公司","勞動基準法第32條第2項","高市勞條字第10530308500號","105/02/15"
58,"愛宴食坊有限公司","勞動基準法第36條","高市勞條字第10530964600號","105/02/15"
59,"龍衛保全股份有限公司","勞動基準法第21條第1項","高市勞條字第10530516600號","105/02/15"
,,"勞動基準法第22條第2項",,
,,"勞動基準法第24條",,
60,"高雄市私立蒲公英美語短期補習班","勞動基準法第30條第5項","高市勞條字第10530420200號","105/02/16"
61,"南誠實業股份有限公司","勞動基準法第30條第5項","高市勞條字第10531042900號","105/02/17"
62,"鑫新國際有限公司","勞動基準法第39條","高市勞條字第10530911300號","105/02/17"
63,"台灣善美的股份有限公司","勞動基準法第24條","高市勞條字第10530484900號","105/02/17"
64,"黑鮪魚大飯店股份有限公司","勞動基準法第24條","高市勞條字第10530973400號","105/02/18"
,,"勞動基準法第34條",,
65,"吉曜工程企業有限公司","勞動基準法第21條第1項","高市勞條字第10530981400號","105/02/18"
,,"勞動基準法第24條",,
66,"全來工程有限公司","勞動基準法第24條","高市勞條字第10530644200號","105/02/18"
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
67,"全聯實業股份有限公司","勞動基準法第23條第1項","高市勞條字第10530794600號","105/02/18"
68,"邵志盛即柏衍工程行","勞動基準法第80條","高市勞條字第10531128100號","105/02/19"
69,"宋韋霆即炸去啃炸雞商行","勞動基準法第22條第2項","高市勞條字第1053056900號","105/02/19"
70,"大同奧的斯電梯股份有限公司","勞動基準法第36條","高市勞條字第10530583100號","105/02/19"
71,"新偉國際管理顧問股份有限公司","勞動基準法第24條","高市勞條字第10530592300號","105/02/22"
72,"統聯汽車客運有限公司","勞動基準法第32條第2項","高市勞條字第10530690900號","105/02/22"
73,"許文德即田園小吃部","勞動基準法第80條","高市勞條字第10530896300號","105/02/22"
74,"陳儷壬即上品月子外送餐坊","勞動基準法第23條第2項","高市勞條字第10530743700號","105/02/22"
,,"勞動基準法第30條第5項",,
,,"勞動基準法第36條",,
75,"中將電子實業有限公司","勞動基準法第24條","高市勞條字第10530977800號","105/02/22"
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
76,"友宏有限公司","勞動基準法第30條第5項","高市勞條字第10530962800號","105/02/22"
77,"康漢生技股份有限公司","勞動基準法第22條","高市勞條字第10531205300號","105/02/23"
,,"勞動基準法第24條",,
78,"王品餐飲股份有限公司","勞動基準法第24條","高市勞條字第10531195100號","105/02/24"
79,"王俊傑即立嵐紅綠茶專賣店","勞動基準法第21條第1項","高市勞條字第10530912900號","105/02/23"
,,"勞動基準法第24條",,
80,"財團法人伊甸社會福利基金會","勞動基準法第39條","高市勞條字第10531006900號","105/02/23"
81,"陪你有限公司","勞動基準法第22條第2項","高市勞條字第10531124600號","105/02/24"
,,"勞動基準法第23條第2項",,
,,"勞動基準法第30條第5項",,
82,"嘉楠通信器材有限公司","勞動基準法第24條","高市勞條字第10531256200號","105/02/25"
83,"弘耘設計工程有限公司","勞動基準法第27條","高市勞條字第10531272700號","105/02/25"
84,"七賢脊椎外科醫院","勞動基準法第22條第2項","高市勞條字第10530997600號","105/02/26"
85,"強固保全股份有限公司","勞動基準法第22條第2項","高市勞條字第10530847400號","105/03/01"
,,"勞動基準法第38條",,
86,"高雄餅食品有限公司","勞動基準法第36條","高市勞條字第10531395200號","105/03/02"
87,"萬安生命科技股份有限公司","勞動基準法第30條第5項","高市勞條字第10530887200號","105/03/02"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
88,"慈惠診所","勞動基準法第39條","高市勞條字第10531189400號","105/03/02"
89,"一晟建材有限公司","勞動基準法第30條第5項","高市勞條字第10531477100號","105/03/03"
90,"華陀扶元堂生藥科技股份有限公司","勞動基準法第24條","高市勞條字第10531293200號","105/03/03"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第39條",,
91,"新富發有限公司","勞動基準法第24條","高市勞條字第10531355100號","105/03/03"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
92,"大同綜合訊電股份有限公司","勞動基準法第24條","高市勞條字第10530886900號","105/03/03"
,,"勞動基準法第32條第2項",,
93,"高雄市私立富華養護中心","勞動基準法第24條","高市勞條字第10530933700號","105/03/04"
,,"勞動基準法第32條第2項",,
94,"巨將保全股份有限公司","勞動基準法第30條第5項","高市勞條字第10531489400號","105/03/04"
95,"齊洋企業有限公司","勞動基準法第32條第2項","高市勞條字第10531006800號","105/03/04"
96,"波特嫚國際生物科技股份有限公司","勞動基準法第32條第2項","高市勞條字第10531147400號","105/03/04"
97,"七海電業股份有限公司","勞動基準法第24條","高市勞條字第10531472900號","105/03/04"
,,"勞動基準法第32條第2項",,
98,"益又康國際行銷股份有限公司","勞動基準法第24條","高市勞條字第10531399400號","105/03/07"
99,"楊淑錦即幸福空間傢飾店","勞動基準法第30條第5項","高市勞條字第10531377200號","105/03/08"
100,"謝萬樂即小港泰越商店","勞動基準法第39條","高市勞條字第10531376900號","105/03/08"
101,"謝萬樂即站前泰越印商店","勞動基準法第30條第5項","高市勞條字第10531377000號","105/03/08"
102,"謝萬樂即大寮泰越印商店","勞動基準法第39條","高市勞條字第10531377100號","105/03/08"
